"","Sex","Whole.wt","Shucked.wt","Viscera.wt"
"1","M",0.2255,0.0995,0.0485
"2","F",0.677,0.2565,0.1415
"3","M",0.516,0.2155,0.114
"6","F",0.7775,0.237,0.1415
"7","F",0.768,0.294,0.1495
"8","M",0.5095,0.2165,0.1125
"9","F",0.8945,0.3145,0.151
"10","F",0.6065,0.194,0.1475
"11","M",0.406,0.1675,0.081
"12","M",0.5415,0.2175,0.095
"13","F",0.6845,0.2725,0.171
"14","F",0.4755,0.1675,0.0805
"15","M",0.6645,0.258,0.133
"17","F",0.451,0.188,0.087
"18","M",0.2555,0.097,0.043
"19","M",0.381,0.1705,0.075
"20","M",0.2455,0.0955,0.062
"22","F",0.9395,0.4275,0.214
"23","F",0.7635,0.318,0.21
"24","F",1.1615,0.513,0.301
"25","F",0.9285,0.3825,0.188
"26","F",0.9955,0.3945,0.272
"27","M",0.931,0.356,0.234
"28","M",0.9365,0.394,0.219
"29","M",0.8635,0.393,0.227
"30","M",0.9975,0.3935,0.242
"31","F",1.639,0.6055,0.2805
"32","M",1.338,0.5515,0.3575
"33","F",1.798,0.815,0.3925
"34","F",1.7095,0.633,0.4115
"35","M",0.4795,0.227,0.124
"36","F",1.217,0.5305,0.3075
"37","F",0.5225,0.237,0.1165
"38","F",0.883,0.381,0.2035
"39","M",0.3275,0.134,0.086
"40","F",0.425,0.1865,0.091
"41","F",0.8515,0.362,0.196
"46","M",0.5795,0.293,0.227
"47","F",0.4605,0.1775,0.11
"49","F",0.8355,0.3545,0.2135
"51","M",0.303,0.1335,0.06
"52","M",0.5415,0.2595,0.096
"53","F",0.4775,0.2105,0.1055
"54","M",0.385,0.173,0.0915
"55","F",0.6615,0.2565,0.1755
"56","M",0.4425,0.192,0.0955
"57","M",0.5895,0.2765,0.12
"59","F",0.583,0.246,0.13
"60","M",0.4115,0.18,0.1125
"61","M",0.625,0.305,0.16
"62","F",0.6965,0.302,0.1935
"63","M",0.3785,0.1705,0.08
"64","M",0.58,0.234,0.1315
"65","M",0.48,0.234,0.1015
"66","F",0.915,0.354,0.1935
"67","F",1.285,0.416,0.224
"68","F",0.5305,0.2135,0.1155
"70","M",0.7665,0.264,0.168
"71","F",0.353,0.1405,0.0985
